OTUId,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu544,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu553,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella,Barnesiella_intestinihominis
Otu551,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_succinatiphilus
Otu552,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned
Otu554,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides_distasonis
Otu555,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_finegoldii
Otu556,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter_sanguinis
Otu558,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella_tayi
Otu559,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium_desmolans
Otu566,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_stercoris
Otu567,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,unassigned
Otu570,Bacteria,Firmicutes,Clostridia,Clostridiales,unassigned,unassigned,unassigned
Otu572,Bacteria,Proteobacteria,Betaproteobacteria,unassigned,unassigned,unassigned,unassigned
Otu573,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Eubacterium_hadrum
Otu575,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unassigned
Otu577,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,unassigned,unassigned
Otu578,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella_clara
Otu579,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_stercoris
Otu580,Bacteria,Firmicutes,Clostridia,Clostridiales,unassigned,unassigned,unassigned
Otu583,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,unassigned
Otu587,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella_biformis
Otu589,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella_clara
Otu588,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_flavefaciens
Otu596,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_piger
Otu601,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu605,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu614,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_bromii
Otu615,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu618,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_intestinalis
Otu619,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu620,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_stercorea
Otu622,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unassigned
Otu624,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu623,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu628,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Eubacterium_hadrum
Otu631,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
Otu633,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu634,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unassigned,unassigned
Otu635,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu636,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
Otu644,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu646,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned
Otu658,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVb,Clostridium_lactatifermentans
Otu661,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned
Otu667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_copri
Otu693,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu694,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned
Otu714,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus_comes
Otu715,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unassigned,unassigned
Otu726,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,unassigned
Otu730,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_copri
Otu1117,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu1444,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu1606,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_copri
Otu1651,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_plebeius
Otu1674,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis
Otu1783,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu1959,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis
Otu1964,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu1979,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu2089,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu2218,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu2236,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu2255,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu2285,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu2350,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu2524,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_xylanisolvens
Otu2748,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu3025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unassigned
Otu3026,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu3038,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unassigned
Otu3189,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu3452,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_plebeius
Otu3535,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unassigned
Otu3559,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_finegoldii
