Sample,label,Parabacteroides,Eubacterium,Gemmiger,Alloprevotella,Ruminococcus,Megasphaera,Blautia,Odoribacter,Butyricimonas,Bifidobacterium,Fusicatenibacter,Dialister,Clostridium_XVIII,Pyramidobacter,Turicibacter,Anaerostipes,Sutterella,Coprococcus,Megamonas,Escherichia/Shigella,Flavonifractor,Intestinibacter,Prevotella,Collinsella,Barnesiella,Haemophilus,Anaerotruncus,Dorea,Roseburia,Phascolarctobacterium,Lachnospiracea_incertae_sedis,Streptococcus,Oscillibacter,Clostridium_XlVb,Clostridium_sensu_stricto,Desulfovibrio,Romboutsia,Clostridium_IV,Bacteroides,Paraprevotella,Veillonella,Akkermansia,Parasutterella,Clostridium_XlVa,Holdemanella,Alistipes,Eisenbergiella,Fusobacterium,Faecalibacterium,Bilophila,Ruminococcus2,Catenibacterium
CRA02,A,0.330370654,0.270690795,0.398576209,5.918963275,2.018458129,0.014919965,0.364473432,0.11935972,0.010657118,0.010657118,0.439073257,0.230193747,0.023445659,0.010657118,0.014919965,0.061811283,0.988980541,0.247245135,0.085256944,0.530724471,0.034102778,0.038365624,43.16345888,0.867489396,0.091651214,0.360210585,0.008525694,0.166251039,3.384700642,0.204616664,1.707270286,0.036234201,0.407101904,0.230193747,1.283116994,0.010657118,0.520067353,0.080994096,6.686275769,0.078862673,0.049022743,0.02983993,0.012788542,1.67956178,0,0.396444786,0.02983993,0.031971354,11.56510433,0.012788541,0.204616664,0.004262847
JZA07,B,0.983290226,0.164223838,0.151907049,0.055425546,0.131379069,0.045161555,1.338424272,0.039003162,0,0.201174201,0.275074927,0.008211192,0.022580778,0.004105596,0,0.369503634,0,0.106745493,0.305866897,0.55425545,1.324054687,0.018475182,5.446072997,0.041055959,0.047214353,0.057478343,0,0.281233321,0.878597529,3.834626596,1.664819149,0.006158394,0.096481504,0.244282957,0.018475182,0.012316788,0.096481504,0.016422384,66.99306154,0.205279797,0.004105596,0.002052798,1.638132775,0.775957631,0.002052798,0.229913371,0.002052798,0.632261773,1.785934228,0.260705341,0.634314571,0
JZ093,B,3.158115184,0.184293194,0.381151833,0,0.366492146,0.027225131,0.929842933,0.096335079,0.027225131,0.027225131,0.213612565,0.12565445,0.663874346,0,0.012565445,0.014659687,0.163350786,0.232460732,0.123560209,0.32460733,0.163350786,0.006282723,7.759162305,0.058638744,0.094240838,0.05026178,0.014659686,0.230366492,2.291099476,1.028272251,0.789528797,0.039790576,0.167539269,0.154973822,0.075392671,0.048167539,0.023036649,0.077486911,63.3947644,0.056544503,0.07329843,0.016753927,0.265968586,1.426178013,0,0.487958115,0.119371728,1.558115183,7.034554974,0.110994764,0.215706807,0.016753927
JZK02,B,2.469135803,0.209683976,0.299548538,0.166891328,0.32094486,0.079166399,0.697520165,0.047071914,0.002139632,0.006418897,0.226801036,0.034234119,0.066328605,0.00855853,0.021396324,0.019256692,0,0.427926482,6.69063055,0.198985814,0.288850375,0.034234119,1.157541132,0.284571111,0.023535956,0.006418897,0.002139632,0.162612063,1.172518561,0.288850375,1.34154952,0.002139632,0.096283457,0.119819415,0.340201553,0.136936473,0.040653016,0.019256692,59.37265977,0.616214134,0.006418897,0,0.902924877,0.693240902,0.002139632,0.374435672,0.010698162,3.810685325,1.439972613,0.109121253,0.344480819,0.002139632
JZ010,B,1.810355741,0.535932818,0.497953328,0,0.143478077,0.004219943,0.265856439,0.042199434,0.018989746,0.010549858,0.12237836,0.037979491,0.021099718,0,0,0.037979492,0.63510149,0.162467823,2.086762038,0.059079208,0.751149935,0.008439887,12.56488163,0.040089462,0.025319661,0.086508841,0,0.107608559,0.812339114,1.455880491,0.52538296,0.021099717,0.286956155,0.067519095,0.206777229,0.016879774,0.06118918,0.023209689,58.46520658,3.719880154,0.097058699,0,0.130818247,0.39245474,0,0.624551631,0.033759547,1.54027936,4.17985399,0.151917964,0.223657003,0.010549859
JZA02,B,1.9104736,0.15044722,0.214335765,0.053583942,0.187543795,0.043279337,0.902683319,0.037096574,0,0.065949466,0.682164791,0.032974733,0.020609208,0,0.002060921,0.152508141,0.008243683,0.226701291,0.746053337,1.599274556,0.307077202,0.004121842,4.719508679,0.0494621,0.02473105,0.012365525,0.008243683,0.19990932,1.36020774,0.618276246,1.125262767,0,0.113350645,0.379209431,0.204031162,0.006182763,0.123655249,0.037096575,57.69960018,0.121594329,0.012365525,0,0.220518527,1.584848111,0.004121842,0.171056428,0.006182763,9.381311569,3.062528339,0.088619595,0.667738346,0.014426446
JZJ05,B,1.444286006,0.118150336,0.478712568,0,0.338154412,0.002037075,0.776125486,0.018333673,0,0.203707476,0.293338766,0.014259523,0.079445916,0,0,0.107964963,0.087594215,0.114076187,0.095742514,5.673253208,0.389081279,0.048889794,3.304135262,0.0081483,0.014259523,0.040741495,0.010185374,0.059075168,1.226319006,3.617844775,2.741902628,0.026481972,0.226115299,0.036667346,0.048889794,0.002037075,0.050926869,0.122224485,56.8038297,0.105927887,0.032593196,0,1.550213892,1.647993482,0.006111225,0.099816665,0.040741495,0.238337747,9.916479935,0.191485028,0.246486046,0
JZ013,B,3.329057223,0.1619314,0.330171815,0.025236062,0.199785493,0.025236062,0.801244979,0.100944249,0.012618031,0.006309016,0.170343421,0.315450779,0.012618031,0.021030052,0.008412021,0.021030051,0.094635233,0.136695337,0.986309436,0.096738239,0.519442283,0.016824042,12.40773064,0.073605182,0.073605181,0.042060103,0.00420601,0.071502177,1.200815965,0.708712751,1.528884777,0.084120207,0.140901348,0.208197513,0.332274821,0.031545077,0.391158966,0.16613741,53.67289856,0.058884146,0.042060103,0.00420601,2.235494521,1.997854936,0.002103005,0.340686842,0.012618031,8.32790057,1.678198146,0.088326218,0.410086013,0
JZA05,B,0.786559274,0.237016529,0.534860307,0.048242302,0.295746285,0.044047319,0.880946389,0.727829516,0.004194983,0.10487457,0.381743435,0.023072405,0.029364879,0,0,0.081802164,0.054534776,0.392230891,0.398523365,0.3901334,0.237016529,0.025169897,6.089017533,0.065022233,0.878848896,0.429985737,0.004194983,0.234919037,5.300360769,2.62186425,1.266884807,0.371255978,0.337696115,1.60458092,0.060827251,0.025169896,0.058729759,0.006292474,55.17451128,0.075509691,0.037754845,0.232821545,0.044047319,1.545851163,0.004194983,0.809631681,0.004194983,0.446765668,3.423105965,1.170400201,1.386441816,0
JZJ02,B,0.137863748,0.084839229,0.218461016,0.082718249,0.579027741,0,0.296937302,0.006362942,0,0.097565114,0.154831594,0.103928056,0.721133452,0,0.008483923,0.063629422,0.072113345,0.082718249,0.061508442,7.813693052,0.131500806,0.05726648,1.997963859,0.004241961,0.008483922,0.263001612,0.002120981,0.021209807,1.631034191,0.048782558,3.662933739,0.023330788,0.133621787,0.061508442,0.258759651,0.008483923,0.146347671,0.156952575,53.61415118,0.023330788,4.163485195,0.150589633,0.019088827,2.02765759,0,0.02757275,0.2863324,0.165436498,10.10647323,0.014846865,0.099686095,0.002120981
